id,english,russian
B363B8784C6C7A0A3BA70EA1B25E5BC1#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
B4F73E224E878621104306BB16234417#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
B59750BE418C995251F85E8055364105#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
B64A613644F5548785DBFB9961E8572F#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
B7248A934545F30481D99E8CF0CCE3D1#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
B84246FC451205E1A470808C29586E79#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
BA1ED4B1464C160AEE9F03BE2A3DACC1#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
BA3964F64E3A4721254913921853E52E#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
BA76D2D04B2161E906B142B893A0856B#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
BB9085BF4CF15C77216D1F80571BA733#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
BCE1B7E74822D0FCA76E2B9418E9BD0C#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
BCEA606B4E49EBC2162CF29AE92509A8#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
C0F429A547540E59952DF1BF87C20A2C#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
C1DDDFC8400B9088C0C8858DDD521134#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
C65BBC5C49C8BC026D142EBB33C3EF4C#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
C76699C3419F8A70B16465A0C54AB3D8#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
C868E2B54A6398635DDAC5A84A86F4B1#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
CC31B9E64F0B8CBFC4DE6A9C3DACE9AE#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
CC984C144B3476C1A94BFCA485D4E01A#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
CDF193B54F9869C9E9B321BADCBED562#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
CF6F9A2D4E86DB9C1DD67D92D2F8203A#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D01431A045B37E50B4429CB992912065#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D1F3F05B4A5FA9C5AB9AB1B9E2C6DBAE#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D266F9DE4890BA223EB22FBF53B0EBFD#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D483FA904E86C470B082DAB6BE5707B1#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D49AB1F34F1BC759CD356F9E3629769A#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D5B3810C499AA8513CF82DB4E8BB6FD9#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D6550FCE4DF6E996B93811B42E8DE28B#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D67EB41A408F283032B4B5BAAD01CC2B#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D82697DC4FE9980BE026798991338848#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D947D13D4D31570BDED2A2BFD42D004A#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
D98DF5934F7CDEAFBC1A7E9B1A8D7364#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
DABECC494C3C85D6E108228142CB9D1D#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
DC3BB12349BBE8DE0CFC2292544E2C5F#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
DDA1643F4213482032A1AA8EFB523EE0#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
DE8F0F0144D0BACC6D8706B8D6089618#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
DF973F3341D0AC5F5684F897FBD971AD#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
E391846E45CFFC5BA6E431AAF7066287#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
E43ABD36420396F6ECB0F49802A11533#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
E5C43B8A4760D7903297FD917B93FA5F#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
E915A6FB4FBC2AE2415A24A56FD9F7DA#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
E987F0C14CE683480ADA17AF79DF2855#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
EC8ADB89441072620F52F6AB8F46087B#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
ED5B4C4049B368D8A5DBD39D0C92AD55#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
EDD062B046C280C23F6EFDA75CA9E69D#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
EECA81E048256788F43B9E9A7A1DB82D#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
EF0865F549756427883711A1430CC348#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
F146245F4C0FD439EEE0BEAE4DD12A89#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
F29576A2495F27259F43A3B006B446E2#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
F60020524F4D4877044A5F8C4BCC6B68#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
F710489F48B729EAC0ABF49F73A971CA#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
F761AFE44602E7131CEABE83B89AB667#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
FCFC20DB43E752DA9F9146AF35761BAA#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
FF9CD90F4939636BDBFCB5B20DD0A1DB#B84B6356,"""Meal Ready to Eat"" enough to sustain yourself for a long period of time.","«Еды, готовой к употреблению» достаточно, чтобы прокормить себя в течение длительного периода времени."
30B972504A97154DCE5CC092E414B408#16B902D8,"""Meter"" ruler",«Метровая» линейка
64DF652E4553AD3BD581668A794363AC#16B902D8,"""Meter"" ruler",«Метровая» линейка
70223C13471613062FB9E7A8F5C5E77C#16B902D8,"""Meter"" ruler",«Метровая» линейка
70A2578F4BEC06D0DDC2EC8DE73BAB76#16B902D8,"""Meter"" ruler",«Метровая» линейка
CA54C4884CA72ACDBBA77F9E4CFD5145#16B902D8,"""Meter"" ruler",«Метровая» линейка
D5036F764F28863AB919938593D8E5FA#16B902D8,"""Meter"" ruler","""Метровка"" линейка"
20D994674338D6CD79AEFAB1B744CA34#43D2E148,"""Minerva"" award plushie","Игрушечная награда ""Минерва"""
6F8B6B984982527004571F93728EDCEB#DB0BD917,"""MonikaCinnyRoll"" award plushie","Наградная плюшевая игрушка ""MonikaCinnyRoll"""
33DD0D0D4E79D4FC728609A98C128F07#8FCE8D9A,"""Out Of Order"" sign",Табличка «Не работает»
4A64B25444348B7B56824CA6858521D9#8FCE8D9A,"""Out Of Order"" sign",Табличка «Не работает»
A0997E924D46CA1961E876B258C3AA57#8FCE8D9A,"""Out Of Order"" sign",Табличка «Не работает»
EA9FE8A64C1742454D7B509088018012#8FCE8D9A,"""Out Of Order"" sign","Табличка ""Не Работает"""
3581BAC64E342B88D7273382AE9D892D#7CC9521C,"""Sam"" award plushie","Игрушечная награда ""Сэм"""
A017C0C947E31E06D141FA822E5503C2#C8947A33,"""Spazmatic Banana"" award plushie","Наградной плюшевый мишка ""Спазматический банан"""
8A607A7149BA8A617A435AB67E57462F#7616385C,"""Svenskfisk""","""Свенскфиск"""
19EDED934BD47FA9B202C3991B8A1003#82D6403C,"""The Best senate of all times""","""Лучший сенат всех времен"""
FBEFB0FA4A885754F8A6E1BD95675F22#82D6403C,"""The Best senate of all times""",«Лучший сенат всех времен»
0EABE9374E2D0FE82C089DB5C4E9E367#E9D7D923,"""The Librarian"" secret award plushie(?)","""The Librarian"" секретная наградная игрушка(?)"
834E6DBE4EC9538453FF719F70BE5084#E9D7D923,"""The Librarian"" secret award plushie(?)","Секретная плюшевая награда ""Библиотекарь""(?)"
F60D66C245EF19E2DF726DB6A822E9A8#E9D7D923,"""The Librarian"" secret award plushie(?)","Секретная плюшевая награда ""Библиотекарь""(?)"
2F5A2CF146F7C2C8F51520BC3AAD222D#F79E716C,"""Three Cats in a Raincoat"" award plushie","наградная плюшевая игрушка ""Три кота в дождевике"""
5CF59C4441030BFB1F06C4A14AFE946B#81B27345,"""Vargskelethor Joel"" award plushie. Thank you for your great streams!","Наградная плюшевая игрушка ""Варгскелетор Джоэл"". Спасибо за ваши замечательные стримы!"
616FA78B4F5E3A17DEA1CBA45C7FE42A#81B27345,"""Vargskelethor Joel"" award plushie. Thank you for your great streams!","Наградная плюшевая игрушка ""Варгскелетор Джоэл"". Спасибо за ваши замечательные стримы!"
8C0378464154EA51979B3091439FEE13#81B27345,"""Vargskelethor Joel"" award plushie. Thank you for your great streams!","Наградная плюшевая игрушка ""Варгскелетор Джоэл"". Спасибо за ваши замечательные стримы!"
A81825A2430F3531CAADECAFBCE66EFE#81B27345,"""Vargskelethor Joel"" award plushie. Thank you for your great streams!","Наградная плюшевая игрушка ""Варгскелетор Джоэл"". Спасибо за ваши замечательные стримы!"
B9646580440B2DF95E2F20A0AC980FDA#81B27345,"""Vargskelethor Joel"" award plushie. Thank you for your great streams!","Наградная игрушка ""Vargskelethor Joel"". Спасибо тебе за твои отличные трансляции!"
09DFBC7F47203301B797618E7702EE4F#A4A42A55,"""WUG"" hell beer","ядрёное пиво ""WUG"""
1920ACC243C1C9E91AC23A9F2D209A4D#CEE57EE5,"""Wet floor"" sign",Табличка «Мокрый пол»
39B35FD442EF863096CFD299EC26D242#CEE57EE5,"""Wet floor"" sign",Табличка «Мокрый пол»
9848565448C73CD2ABDF238D6521633E#CEE57EE5,"""Wet floor"" sign","Знак ""мокрый пол"""
C7C06B0B4E3F77678ACFAE93FBD3D2CE#CEE57EE5,"""Wet floor"" sign",Табличка «Мокрый пол»
D0BEF2A74972C070F05416ABC6B589B7#FD4AF25B,"""Zeta Reticulan"" alien figure","Фигурка пришельца ""Zeta Reticulan"""
62014FD94217F9D9910AA7977101E29B#D4C3E63D,"""{a}""","""{a}"""
1242A66E4D9C28B8F83F5D96DFA7CF37#3598ECC1,"""{a}"" - INVALID",«{a}» — НЕДЕЙСТВИТЕЛЬНО
CA53A02B4CB1F0998B0EFFB8CAE0B4D6#C1B0F982,"""{a}"" - {b}","""{a}"" - {b}"
3B61FBC9427CDE1821338A92D7727CC4#EB9F70E7,"""{a}"" set as toolgun spawner","""{a}"" установлен в качестве генератора инструментов."
CCC7BB48414A026B70D716A876F80399#506209BE,## #e## #es# uθ##### æ####### #θ#he#œ##a##aœg# ####θ œdsi# go ## ed ##sœ e##i.##o æ# a#####es#,## #e## #es# uθ##### æ####### #θ#he#œ##a##aœg# ####θ œdsi# go ## ed ##sœ e##i.##o æ# a#####es#
7999A5494DD1F50FD9BC919888A17CC5#75C92288,###########################,###########################
52A032DB4F49096FEAD1E9BE1975FFF7#CDAE3790,##############################################################################################,##############################################################################################
C0B3F08E48E26EE2386C8EB869B51D2E#CDAE3790,##############################################################################################,##############################################################################################
BF1469CB40A69D6CFFD088ADC6BE26FF#D08BC9D5,################################################################################################,################################################################################################
F6AC59EB455CC6BAB6C0BD8E90AB6765#6D8FF16E,############################################################################################################################,############################################################################################################################
6325343744A9E298DC30CEAFAD835A5C#7324DF7A,#############################################################################################################################,#############################################################################################################################
647959384CEED3EBC20C848FAC7B444D#EF0E3249,#############################################################################################################################################,#############################################################################################################################################
5E3D430343B234612C677992BB6A848A#64438EAA,#############################################################################################################################################################################################################################################,#############################################################################################################################################################################################################################################
CAF624254CFBC72D0E19ACBB4379C9B3#593F5C88,#####################################################################################################################################################################################################################################################################,#####################################################################################################################################################################################################################################################################
952829894300268306669FA7DDB383B7#A253BF3C,###########################################################################################################################################################################################################################################################################################################################,###########################################################################################################################################################################################################################################################################################################################
DCB5E81A4059EACCFEDBC19AB2BB1449#22C3BE28,##############A########### ########I#########A####L############A#####################################H######### ## ### ##S########################### #############H########O##########################T########## A########S######ID##### #H##################O#####,##############A##################I#########A####L###############################################H######## ## ### ##S######################### ############H#################################T#################S########### #Ч##################О#####
C8DF2EA84D341418D54673A7D6E740AC#F6AA8F7C,##############d#######ea####################################r###o############################.##,##############d#######ea#################################################################################################################
040C4C8E4BC8C9C5A4181E9C2951628B#8566A124,#############G###O#################################O########################D#####,#############ХОРОШИЙ#####
0506CFBF473C14954A1593AD3D5E5717#663DB9ED,#############S#################################O#######################################R#####################################################R###############Y##################,#############ИЗВИНИ##################
238070F047D83B854CF95EABD314F9D5#55AFE698,#############UPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTE#############,#############UPT... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... INTE#############
56A9A0BC444A5200600BB9AF45F56E98#55AFE698,#############UPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTE#############,#############UPT... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... INTE#############
C84C8D3A4C5AECE3D4BE8BAE268449A7#55AFE698,#############UPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTE#############,#############UPT... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... INTE#############
CA041CE94C71C911FF3400832F5DC1AE#55AFE698,#############UPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTERRUPT... INTE#############,#############UPT... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... ПРЕРЫВАНИЕ... INTE#############
13D11D6E467CAD406C86D8A7346C35A8#4BA7E393,########I##I##E####W#### #V#RYO########A###E##########S#E########E###ER#### ########H########T############## #######E##S ######EL##U############Y##########YON#############P #######S#########R# ######## ## #E#D######## ####S #VE###H#####V######### #####H#######IT#I####E#Y####E######### I# ###D############I#########,########I##I##E####W#### #V#RYO########A###E##########S#E############ER#############H######################################## ######EL##U###########Y##########YON#############P #######S####################################S #VE###H#####V######### #####H#######IT#I####E#Y####E###############D######################
CB4236B84798DE377B6D11932041053F#E4BE6121,######Z#ne #### #one #e## Z######### #e##e ######L######lo### #l########s####l#s####l###r ######,######Z#ne #### #one #e## Z######### #e##e ######L######lo### #l########s####l#s####l###r ######
269E74764D8C88EEA60E60942EAA3B4A#3F40F411,#####DES#TR#OY_#DIS#C#####_RU#N######NIN######G#_###D#E###STR###O#Y_#A#############LL#_CO####N#TAINE#########R#_A#_############E###_R#U###N#N###ING_###DES####TROY####_AL#L_######E#############_D########ATA#_I#MM#######EDIA#TELY_#TH#########E_P###L######ANET#_W######ILL#_##BE##_IT ####WA#######S DE##STROYED_W########E#_NO####_######EN##O###UGH_T#IME##_#########################################################,#####DES#TR#OY_#DIS#C#####_RU#N######NIN######G#_###D#E###STR###O#Y_#A #############LL#_CO####N#TAINE##########R#_A#_###############_R#U###N# N###ING_###DES####TROY####_AL#L_######E#############_D########ATA#_I#M M#######EDIA#TELY_#TH#########E_P###L######ANET#_W######ILL#_##BE##_IT ####ВА#######S DE##STROYED_W########E#_NO####_######EN##O###UGH_T#IME##_####################################################
931419CA40F9A48BE4F28391A1B360DB#3F40F411,#####DES#TR#OY_#DIS#C#####_RU#N######NIN######G#_###D#E###STR###O#Y_#A#############LL#_CO####N#TAINE#########R#_A#_############E###_R#U###N#N###ING_###DES####TROY####_AL#L_######E#############_D########ATA#_I#MM#######EDIA#TELY_#TH#########E_P###L######ANET#_W######ILL#_##BE##_IT ####WA#######S DE##STROYED_W########E#_NO####_######EN##O###UGH_T#IME##_#########################################################,#####DES#TR#OY_#DIS#C#####_RU#N######NIN######G#_###D#E###STR###O#Y_#A #############LL#_CO####N#TAINE##########R#_A#_###############_R#U###N# N###ING_###DES####TROY####_AL#L_######E#############_D########ATA#_I#M M#######EDIA#TELY_#TH#########E_P###L######ANET#_W######ILL#_##BE##_IT ####ВА#######S DE##STROYED_W########E#_NO####_######EN##O###UGH_T#IME##_####################################################
D2044A6A47AB7848A6E27FAFBF57C608#5E9DC4DB,#####a## ################y####i##.####t#######t########.##########e########## t##.########.#####.##.#.#######.#########n#####o######### ############e##n##p################a#e####### #h#s###t#########ug####o######ur#### ###n####p#########,#####a## ###############y####i##.####t#######t########.#################### t##.########.#####.##.#.#######.#########n#####o######################e##n##p###############a#e######## #h#s###t#########ug####o######ur#### ###n####p#########
C68257D348A2B861A862C2AD3BCAE856#93DACA41,####r####o##########wo#l########m##e#####h###y# #ut #t#m#k######-#########k#####r#######s ######b###ti#u#####w########ak######f### ##l#######,####r####o##########wo#l########m##e#####h###y# #ut #t#m#k######-#########k#####r#######s ######b###ti#u#####w########ak######f### ##l#######
957C3C58469EB55BF4EEECA7864904B2#7D22E8BB,##L# US####I####E#YW#### #V#RY#####S #EA# ##L##US ####S###ER#WH### E#E#######S##EA##HE####S#IT I# ##ERYW#### #V##Y##E ## ##A# #ELP #S##T##S#E#################E IS####D #### ## IT ## #VERYWH### EVE#YONE##S#DEAD#H#L# ## ####S ##E##WH#R# E#####NE #S#DE#D H#L# ## #T### ##ER#W#####EVE#YO#E####D####H#L# U# IT #S EV#RY##,##L# US####I####E#YW#### #V#RY#####S #EA# ##L##US ####S###ER#WH### E#E#######S##EA##HE####S#IT I# ##ERYW#### #V##Y##E ## ##A# #ELP #S##T##S#E################E IS####D #### ## IT ## #VERYWH### EVE#YONE##S#DEAD#H#L# ## ####S ##E##WH#R# E#####NE #S#DE#D H#L# ## #T### ##ER#W#####EVE#YO#E####D####H#L# U# IT #S EV#RY##
3E2BBF004EEB7D1B289F5AA95C1F6B03#997B013E,##L#E####A#V#####E# ###M#E## #####A#L####O#N##E#,##ОСТАВЬ МЕНЯ В ПОКОЕ#
02403F374CAE31C5D4ACD4869C5440DC#F2859290,##e#e######nn#n##d#############.##################################.######...##.########qq####u#####u###u#############..######,##e#e######nn#n##d#############.############################ ####.######...##.########qq####u#####u###u#############..######
D687E7E840B5479DE5A0AC9DD26E49DD#A27DF9E7,#...####...########e##.###.,#...####...########e##.###.
ACBBB8A942D6DB6727CC6CBBD0495723#70F41F0E,#e###ee###e#nnn##d###.#######.##....###..#.#.################.####.#.###.###.###..q##qqqq###uu##u#u####uu#e####...##.##.#.#.#,#e###ee###e#nnn##d###.#######.##..###..#.#.################. ####.#.###.###.###..q##qqqq###uu##u#u####uu#e####...##.##.#.#.#
7EC884AF440AF8D84C45738198F050B0#1682C7AB,"#en#d#y####nce la###s##ply#a##ive. ##i#i#####o##.#...####e## dam#####h#ve######hi....#..####.#.......###.###....##### an# i #o ### h#ve t## m#n##ta#e a#####ast#c,### no# ##ve ##########s#not#go#d#eno#gh# ho## # ####iv##w#en#s##p#####..##","#en#d#y####nce la###s##ply#a##ive. ##i#i#####o##.#...####e## dam#####h#ve######hi....#..####.#.......###.###....##### an# i #o ### h#ve t## m#n##ta#e a#####ast#c,### no# ##ve ##########s#not#go#d#eno#gh# ho## # ####iv##w#en#s##p#####..##"
C858B4BA469B3530F549B2B583EC9B9A#B6A88010,%,%
776FD02041A6B3C2FBA3CCB947CD3CC1#EECB9046,*,*
C62D4CB044AFFBAE01956EA15FDF63BD#EECB9046,*,*
